Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1999,Runaway Bride,American,Garry Marshall,"Richard Gere, Julia Roberts, Joan Cusack",romantic comedy,https://en.wikipedia.org/wiki/Runaway_Bride_(1999_film),"Maggie Carpenter (Julia Roberts) is a spirited and attractive young woman who has had a number of unsuccessful relationships. Maggie, nervous of being married, has left a trail of fiancés. She's left three men waiting for her at the altar on their wedding day (all of which are caught on tape), receiving tabloid fame and the dubious nickname ""The Runaway Bride"".
Meanwhile, in New York, columnist Homer Eisenhower Graham or ""Ike"" (Richard Gere), writes an article about her that contains several factual errors, supplied to him by a man he meets in a bar who Ike later learns was one of Maggie's former fiancés. Ike is fired for not verifying his source, but is invited to write an in-depth article about Maggie in a bid to restore his reputation. He travels to Hale, Maryland, where he finds Maggie living with her family and on her fourth attempt to become married. The fourth groom-to-be, Bob Kelly (Christopher Meloni), is a local high school football coach who uses sports analogies to help Maggie with her concerns. He constantly makes references to Maggie ""focusing"" on the goal-line in reference to their pending nuptials. As Ike starts going around town to meet her friends, family, and former fiancés, Maggie becomes frustrated and feels he is getting the story wrong again.
Ike begins to cooperate with Maggie on the story, Maggie being interested in getting him to publish the truth, and the two become closer to each other the more time they spend together. During his research for the story, Ike realizes that Maggie is adjusting her interests to mimic those of her fiancés in order to please them. This is signified most prominently by her choice of eggs, which changes with each fiancé. At a pre-wedding celebration for her and Bob, Ike defends Maggie from the public mockery she starts receiving from her family and guests, and Maggie walks outside due to the embarrassment. Ike then confronts Maggie outside about his realization regarding her relationships.
During the wedding rehearsal, Bob tries to quell Maggie's wedding anxieties by walking her down the aisle. Ike is standing in at the altar, playing the groom. After Bob gets her to the altar, Ike and Maggie share a passionate kiss and admit to each other their feelings. Bob is chagrined, becomes jealous and punches Ike in the face before he storms out of the church. In the aftermath, Ike proposes that he and Maggie get married since the wedding is arranged. At the altar, Maggie gets cold feet and flees. Ike pursues her but she hitches a ride away on a FedEx truck.
Later, we see Ike living in New York and Maggie trying to discover herself, trying different types of eggs, and putting her lighting designs up for sale in New York. She shows up unexpectedly at Ike's apartment one night where he finds her making friends with his cat, Italics. Maggie then explains that she had been running because every other guy she was engaged to was only engaged to the idea she had created for them rather than the real her, but with Ike she ran because, even though he truly understood her, she didn't understand herself. She ""turns in"" her running shoes just before proposing to Ike. Ike hides his eyes, but she persists. The two are married in a private ceremony outside, on a hill, avoiding the big ceremonies that Maggie notes she never actually liked. In the end, they are shown riding away on horseback while everyone in Hale and New York (clued in via cell phone by Ike and Maggie's family) celebrates the fact that Maggie finally got married.
A post credit scene shows Maggie and Ike playing in the snow signifying that the relationship is going strong well after the wedding."
1999,She's All That,American,Robert Iscove,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker, Jodi Lyn O'Keefe, Kieran Culkin, Anna Paquin",romantic comedy,https://en.wikipedia.org/wiki/She%27s_All_That,"Zack Siler (Freddie Prinze Jr.) is the big man on campus at his Southern California high school. His popular and narcissistic girlfriend, Taylor Vaughan (Jodi Lyn O'Keefe), ditches him for a faded reality TV star from The Real World, Brock Hudson (Matthew Lillard), whom she met on Spring Break in Florida. Although bitter over the break-up, Zack consoles himself by claiming that Taylor is replaceable by any girl in the school. Zack's friend, Dean Sampson, Jr. (Paul Walker), disagrees and challenges him to a bet on whether Zack can turn any random girl into the Prom Queen within six weeks, a coveted position held by the most popular girl in school. Dean picks out Laney Boggs (Rachael Leigh Cook), a dorky, solitary, unpopular art student, as his choice for Zack.
Zack approaches and attempts to befriend Laney in the hope of subsequently transforming her into prom queen material. His first encounter with her is a complete failure, when she pointedly ignores his advance and walks away from him. With help from Laney's friend, Jesse Jackson (Elden Henson), Zack eventually is successful in getting Laney to take him to a theater lounge frequented by artists and performers. Intending to deter him, Laney arranges for Zack to be called onto the stage and perform to his surprise. Zack manages to improvise a show with the Hacky Sack he happens to carry in his pocket. Laney is impressed by the performance, but rejects him again after he attempts to charm her.
Zack befriends her brother, Simon (Kieran Culkin), and in an attempt to stop this, Laney agrees to go to the beach with him once. She starts to make friends in the popular crowd as they get a chance to know her. Zack then successfully persuades her to attend a party at Preston's (Dulé Hill) house the same night, and he employs his sister Mac (Anna Paquin) to give her a makeover, transforming her into a stunning beauty. Laney's attendance at Preston's party sparks jealousy in Taylor, who then humiliates Laney, but Laney is consoled by Zack, who has by now developed a true affection for her.
As a result of her new appearance and Zack's interest, Laney is nominated for Prom Queen and begins an uneasy battle with Taylor for the crown. Taylor faces humiliation of her own when Brock informs her their relationship is over, and that he only used her to increase his own popularity (which proves successful with the producers of MTV offering him his own show). In the meantime, Dean begins to show an interest in Laney as her popularity begins to soar and Zack's victory becomes more imminent. Dean tries to invite Laney as his prom partner in an attempt to ruin Zack's attempt to boost Laney's winning chance with his own popularity, but Laney refuses. After falling out with Zack, Dean deliberately tells Laney about the bet and she forces a confession from Zack in public. Feeling objectified and betrayed, Laney refuses to see Zack again.
Unable to reconcile with Laney, Zack ends up attending the prom with his sister, while Taylor arrives alone, thinking that Zack is still interested in her despite his refusal of her advances. A disheartened Laney reluctantly dresses up after some persuasion from her father Wayne (Kevin Pollak) and goes to the dance with Dean when he shows up at her house in a tuxedo to invite her again to be his prom date.
At the prom, after a dance scene presided over by the school's resident DJ (Usher Raymond), Mac meets Jesse and they become friends. Dean boasts to Preston and others in the bathroom that he is succeeding in seducing Laney and has rented a hotel room with intention of having sex with her. Jesse overhears this, in a stall, and warns Mac and Zack. Taylor is then crowned Prom Queen with just over half the votes; she begins a long berating speech which is interrupted by the microphone being turned off by a teacher. By now, the students have seen Taylor for who she is, thanks to Mac revealing her actions against Laney and her involvement with Dean to sabotage Zack. As a result, Taylor is further humiliated when she loses her popularity and her friends. Laney leaves the prom with Dean, while Zack attempts to intervene but loses track of them.
When Laney returns to her home, Zack is there waiting for her, along with her father and Simon who are waiting up for her. Laney explains how she fought off Dean's advances by deafening him with an air horn. Zack confesses his true feelings to Laney, and asks for forgiveness as well as the chance to further their relationship, which she grants. Laney tells Zack that she is considering art school after graduation, and Zack jokingly tells her that she has inspired him to pursue a career in performance art. After their first dance and kiss, Laney asks Zack about his bet with Dean (which is now lost), and Zack responds that he will gracefully honor the terms.
At the graduation ceremony, the terms of the bet are revealed, Zack must appear nude on stage because he lost. After his name is called, Zack heads to the stage wearing only a graduation cap and strategically carrying a soccer ball. In the final shot he is not visible, but we see Laney with the soccer ball being thrown to her and the rest of the students reacting to Zack no longer having it for cover."
1999,Simply Irresistible,American,Mark Tarlov,"Sarah Michelle Gellar, Sean Patrick Flanery, Patricia Clarkson",romantic comedy,https://en.wikipedia.org/wiki/Simply_Irresistible_(film),"Amanda Shelton (Sarah Michelle Gellar) inherits her late mother's restaurant, but lacks her mother's ability to cook. The restaurant is failing when Amanda meets a mysterious and possibly magical man at the local market. He introduces himself as Gene O'Reilly and claims to be an old friend of her mother's. He sells her crabs, one of which escapes cooking to become her personal mascot. Amanda meets her love interest at the market, Tom Bartlett (Sean Patrick Flanery), a department store manager at Henri Bendel on Fifth Avenue, who is opening an ambitious new restaurant inside his store. It is never explicitly explained why, but this eventful day transforms Amanda into a miraculous food magician; people who now eat her impressive new dishes start feeling exactly what she was feeling when she was making the dish. These are inspired by her emotions and created with the help of her magic crab.
Amanda saves her restaurant overnight, and her relationship with Tom blossoms just as fast. However, Tom, being a career-minded control freak, panics when he realizes that not only could she be a witch who could be casting spells on him, but that his own emotions are getting the best of him, and he promptly dumps her.
When Amanda goes to confront Tom one last time at his office, she witnesses the violent tantrum and resignation of a celebrity French chef hired for the opening of Tom's new restaurant. When it is discovered that Amanda is in fact the hot new chef in town everyone is talking about, she is hired on the spot, despite Tom's protests.
Once Amanda overcomes her self-doubts and insecurities, she reaches her full potential as a chef, and the opening is a complete success. Though Tom refuses to taste Amanda's food during the opening, he eventually admits to himself he was wrong to reject Amanda because she made him feel emotional. He finally decides to embrace his feelings for her and goes after her. At the last minute, he reaches her with his own personal magic (a paper airplane), and the two reconcile on the dance floor."
1999,The Sixth Sense,American,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Donnie Wahlberg, Olivia Williams",suspense,https://en.wikipedia.org/wiki/The_Sixth_Sense,"Malcolm Crowe, a child psychologist in Philadelphia, returns home one night with his wife, Anna, after having been honored for his work. Anna tells Crowe that everything is second to his work, and that she believes he is truly gifted. A young man then appears in their bathroom, and accuses Crowe of failing him. Crowe recognizes him as Vincent Grey, a former patient whom he treated as a child for hallucinations. Vincent shoots his former doctor before killing himself.
The next fall, Crowe begins working with another patient, nine-year-old Cole Sear, whose case is similar to Vincent's. Crowe becomes dedicated to the boy, though he is haunted by doubts over his ability to help him after his failure with Vincent. Meanwhile, he and his wife seldom, if ever, speak or do anything together. Crowe feels he must help Cole in order to rectify his failure to help Vincent and reconcile with his wife. Cole's mother, Lynn worries about his social stamina, especially after seeing signs of physical abuse. Cole eventually confides his secret to Crowe in the iconic line: ""I see dead people."" He sees ghosts, who walk around like the living unaware they are dead.
At first, Crowe thinks Cole is delusional and considers dropping his case. Remembering Vincent, the psychologist listens to an audiotape from a session with Vincent when he was a child. On the tape, when Crowe leaves the room, Vincent begins crying. Turning up the volume, Crowe hears a weeping man begging for help in Spanish, and now believes that Cole is telling the truth and that Vincent may have had the same ability. He suggests to Cole that he should try to find a purpose for his gift by communicating with the ghosts and perhaps aid them with their unfinished business. At first, Cole is unwilling since the ghosts terrify and sometimes even threaten him, but he finally decides to attempt helping.
Cole talks to one of the ghosts, a young girl named Kyra who recently died after a chronic illness. He goes with Crowe to her funeral reception at her home, where Kyra directs him to a box holding a videotape, which he then gives to her father. The tape shows Kyra's mother poisoning her daughter's food. By proving she was a victim of Munchausen syndrome by proxy, Cole has saved Kyra's younger sister, the mother's next victim.
Learning to live with the ghosts he sees, Cole begins to fit in at school and is cast as the lead in the school play, which Crowe attends. The doctor and patient depart on positive terms and Cole suggests to Crowe that he should try speaking to Anna while she is asleep. Later, while stuck in traffic, Cole confesses his secret to his mother, saying that someone died in an accident ahead of their traffic and he knows because the person is next to him. Although his mother at first does not believe him, Cole proves his ability to her by talking about how his grandmother visits him. He describes how his grandmother saw his mother in a dance performance, even though Lynn thought her mother was not there. He further relays the answer to a question his mother privately asked at her mother's grave, ""Every day."" When Cole asks what question she asked, his mother tearfully answers, ""Do I make you proud?"" They hug.
Crowe returns home, where he finds his wife asleep with their wedding video playing. While still asleep, Anna asks her husband why he left her, and drops Crowe's wedding ring, which he suddenly discovers he has not been wearing. He remembers what Cole said about ghosts and realizes that he has actually been dead the whole time. Because of Cole's efforts, Crowe's unfinished business – rectifying his failure to understand and help Vincent – is finally complete. Crowe fulfills the second reason he returned; to tell his wife she was never second, and that he loves her. His goal complete, he is free to leave the world of the living."
1999,Sleepy Hollow,American,Tim Burton,"Johnny Depp, Christina Ricci, Miranda Richardson, Casper Van Dien",horror,https://en.wikipedia.org/wiki/Sleepy_Hollow_(film),"In 1799, New York City police constable Ichabod Crane is deployed to the Westchester County hamlet of Sleepy Hollow, New York, which has been plagued by a series of brutal slayings in which the victims are found decapitated: Peter Van Garrett, a wealthy farmer; his son Dirk; and the widow Emily Winship. Crane learns that locals believe the killer is the undead apparition of a headless Hessian mercenary from the American Revolutionary War who rides a black steed in search of his missing head.
Crane begins his investigation, remaining skeptical about the paranormal elements until he actually encounters the Headless Horseman, who kills the town magistrate, Samuel Phillipse. Boarding at the home of the town's richest family, the Van Tassels, Crane is taken with their daughter, Katrina. Crane and Young Masbath, the son of one of the Horseman's victims, go to the cave dwelling of a reclusive witch. She reveals the location of the Tree of the Dead, which marks the Horseman's grave, as well as his portal into the natural, living world.
Crane discovers that the ground is freshly disturbed and the Horseman's skull is missing. That night, the family of the village midwife is killed by the Horseman and Katrina's suitor, Brom van Brunt is also killed trying to stop the Horseman. The Horseman doesn't attempt to interact with or harm van Brunt until he has no choice; from this, Crane hypothesizes that the Horseman is attacking select targets, and that whoever dug up and stole the skull is the person controlling the Horseman.
Crane starts to believe that a conspiracy links all the deaths together, so he looks into Van Garrett's last will. Van Garrett had made a new will just before he died, leaving all his possessions to his secret new bride, Emily Winship, whom Crane discovered was pregnant with Van Garrett's child. Crane deduces that all who knew about the new will, the marriage and the pregnancy were the victims of the Horseman and that Katrina's father Baltus Van Tassel, who would have inherited the fortune, is the person holding the skull. Katrina, finding out that Crane suspects her father, burns all the evidence that Crane has accumulated.
A council is held in the church. The Horseman seemingly kills Katrina's stepmother, Lady Van Tassel, and heads off to the church to get Baltus. Crane realizes the Horseman can't enter the church due to it being holy ground. A fight breaks out between the village elders in the church resulting in the deaths of Reverend Steenwyck and Doctor Lancaster, only ending when the Horseman harpoons Baltus through a window, dragging him out and acquiring his head. The next day, Crane believes Katrina to be the one who controls the Headless Horsemen.
Crane later becomes suspicious when he realizes the diagram made by Katrina he thought summoned the Horseman is really one of protection, and also that the corpse of Lady Van Tassel has a wound that seems to have been caused post-mortem.
Lady Van Tassel then reveals that she murdered the servant to lure and ambush Katrina. She finally reveals Katrina that her family (neé Archer) became impoverished after her father died, and was driven from their ancestral home they rented from the Van Garretts, who then sold it to the Van Tassels due to lack of rent income. Her mother could not find employment due to rumors of witchcraft but found an oppurtunity to exact revenge when she witnessed the death of the Hessian. She then proceeded to pledge her soul to Satan and become a witch, summoning the Hessian horseman to kill Van Garrett, his son, new wife, unborn child, every villager who knew about his new will, marriage, and child, and her own sister in order to be able to claim everything that she deemed to be rightfully hers uncontested. She then sends the Horseman after Katrina to remove the last obstacle to inheriting the combined Van Garrett and Van Tassel estates. She also reveals that she murdered her own twin sister-witch for aiding Crane and his assistant.
Following a fight and a stagecoach chase, Crane eventually thwarts Lady Van Tassel by throwing the skull to the Horseman, who reattaches his head to his body and breaks Lady Van Tassel's curse. The Horseman, no longer under her control, hoists Van Tassel up on his horse and gives her a bloody kiss against her will.[4] He then rides to Hell, taking her with a smile, fulfilling her end of the bargain. Crane returns home to New York City with Katrina and Young Masbath, just in time for the new century."
1999,A Slipping-Down Life,American,Toni Kalem,"Lili Taylor, Guy Pearce",romance,https://en.wikipedia.org/wiki/A_Slipping-Down_Life,"Shy loner Evie (Taylor) hears musician Drumstrings Casey (Pearce) on the radio one night and becomes infatuated with him. She pursues him, carving his name (sadly, backwards) in her forehead with broken glass, and eventually they meet and then marry. They both still struggle to make something of their lives."
1999,Snow Falling on Cedars,American,Scott Hicks,"Ethan Hawke, Youki Kudoh, Reeve Carney",drama,https://en.wikipedia.org/wiki/Snow_Falling_on_Cedars_(film),"Set on the fictional San Piedro Island in the northern Puget Sound region of the Washington state coast in 1950, the plot revolves around the murder case of Kazuo Miyamoto (Rick Yune), a Japanese American accused of killing Carl Heine, a White fisherman. The trial occurs in the midst of deep anti-Japanese sentiments following World War II. Covering the case is the editor of the town's one-man newspaper, Ishmael Chambers (Ethan Hawke), a World War II veteran who lost an arm fighting the Japanese in the Pacific War. Ishmael struggles with his childhood, and continuing, love for Kazuo's wife, Hatsue (Youki Kudoh), and his conscience, wondering if Kazuo is truly innocent.
Spearheading the prosecution are the town's sheriff, Art Moran (Richard Jenkins), and prosecutor, Alvin Hooks (James Rebhorn). Leading the defense is the old, experienced attorney Nels Gudmundsson (Max von Sydow). An underlying theme throughout the trial is prejudice. Several witnesses, including Etta Heine (Celia Weston), Carl's mother, accuse Kazuo of murdering Carl for racial and personal reasons. This stance is not without irony, as Kazuo (a decorated war veteran of the 442nd Regimental Combat Team), experienced prejudice because of his ancestry, following the Japanese attack on Pearl Harbor. By the same standard, Etta, a German American, could be blamed for Nazi war crimes.
Also involved in the trial is Ole Jurgensen, an elderly man who sold his strawberry field to Carl. The strawberry field is a contested issue during the trial. The land was originally owned by Carl Heine Sr. The Miyamotos lived in a house on the Heines' land and picked strawberries for Carl Sr. Kazuo and Carl Jr. were close friends as children. Kazuo's father, Zenhichi, eventually approached Carl Sr. about purchasing 7 acres (28,000 m2) of the farm. Though Etta opposed the sale, Carl Sr. agreed. The payments were to be made over a ten-year period. However, before the last payment was made, war erupted between the U.S. and Japan, and all islanders of Japanese ancestry were forced to relocate to internment camps. In 1944, Carl Sr. died and Etta sold the land to Ole. When Kazuo returned after the war, he was extremely bitter toward Etta for reneging on the land sale. When Ole suffered a stroke and decided to sell the farm, he was approached by Carl Jr., hours before Kazuo arrived, to try to buy the land back. During the trial, the land is presented as a family feud and the motivation behind Carl's murder.
Ishmael's search of the maritime records reveals on the night that Carl Heine died a freighter had passed through the channel where Carl had been fishing at 1:42am, five minutes before his watch had stopped. Ishmael realises that Carl was thrown overboard by the force of the freighter's wake. Despite the bitterness he feels at Hatsue's rejection, Ishmael comes forward with the new information. Further evidence is collected in support of the conclusion that Carl had climbed the boat's mast to cut down a lantern, been knocked from the mast by the freighter's wake, hit his head, then fallen into the sea. The charges against Kazuo are dismissed. Hatsue thanks Ishmael by allowing him to hold her ""one last time."""
1999,"South Park: Bigger, Longer & Uncut",American,Trey Parker,"Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes","animation, musical, comedy","https://en.wikipedia.org/wiki/South_Park:_Bigger,_Longer_%26_Uncut","Stan Marsh, Kenny McCormick, Kyle Broflovski, and Eric Cartman go to a cinema to see Terrance and Phillip: Asses of Fire, which stars the boys' favorite Canadian comedy duo Terrance and Phillip. However, the boys are refused entry due to the film being R-rated, so they pay a homeless man to accompany them.
The following day, the boys begin swearing in class, and are sent to Mr. Mackey, the school counselor, who informs their mothers. Later, the boys see the film again, and Kenny bets Cartman $100 that he can set his fart on fire like Terrance in the film. Kenny immolates himself and ultimately dies, leading to Stan, Kyle, and Cartman being grounded. Kenny is sent to Hell, where he is tormented by Satan and Saddam Hussein. Back on Earth, the parents of South Park organize a boycott against Canada and Terrance and Phillip, which is led by Kyle's mother, Sheila. Terrance and Phillip are arrested as war criminals. When the United States refuses to release the duo, Canada retaliates by bombing the residence of the Baldwin brothers.
Sheila and President Bill Clinton announce that the United States will go to war with Canada and have Terrance and Phillip executed at a USO show. After overhearing Cartman leading the children in a song degrading her, Sheila has Dr. Vosknocker implant a V-Chip. The device gives Cartman an electric shock every time he swears. Back in Hell, Satan declares that if the blood of the two innocent Canadians touches American soil, he will invade Earth. Later, Kenny's ghost visits Cartman to warn him of the consequences of executing Terrance and Phillip. After failing to convince their parents, the boys decide to take matters into their own hands. They form La Resistance and Gregory tells Stan to recruit a God-hating French expert on covert operations named ""The Mole"".
La Resistance infiltrate the USO show, but The Mole is discovered and killed by guard dogs. The remaining boys attempt to warn their mothers about what will happen if Terrance and Phillip are killed, but they are laughed at, and Mr. Garrison activates the electric chair. A Canadian force attacks the base and a battle ensues between the two armies. In the confusion, the boys are able to free Terrance and Phillip, though Cartman's V-chip begins to malfunction. The mothers, seeing the destruction their movement has incited, decide to give up and look for their children.
Stan leads the kids to Terrance and Phillip, who have been cornered by the US army. La Resistance forms a human shield while Kyle tries to persuade the army and his mother against killing the two. Sheila refuses and shoots Terrance and Phillip, which results in Satan, his minions, and Saddam attacking Earth. As a result, Sheila regrets everything. Saddam tries to usurp Satan's authority, but is sent back to Hell and impaled on a stalagmite, killing him, thanks to Cartman's malfunctioning V-Chip and Kenny's encouragement. Satan then grants Kenny a wish; Kenny asks for everything to return to how it was before the war, even though it means he will have to go back to Hell. He takes off his hood to say goodbye to his friends, but instead of returning to Hell, Kenny ascends to Heaven due to his act of sacrifice. Everything returns to normal in South Park."
1999,Speedway Junky,American,Nickolas Perry,"Jesse Bradford, Jordan Brower, Daryl Hannah",action,https://en.wikipedia.org/wiki/Speedway_Junky,"The film stars Jesse Bradford as Johnny, a young man with dreams of becoming a stock car racer. After he loses all of his money and possessions in Las Vegas, he drifts into the world of hustling, in the hope of making enough money to travel to Charlotte, North Carolina to join the car racing industry. He meets Eric (Jordan Brower), a gay hustler, who finds himself falling for Johnny. Jonathan Taylor Thomas also stars as Steve, a bisexual hustler, and Daryl Hannah plays Veronica, a former showgirl and prostitute who has served as a surrogate mother figure for Eric since his own mother died. Other than Veronica, the only thing Eric has to remind him of his mother is a silver dollar she gave him that he carries for good luck.
Eric falls deeply in love with Johnny, and is saddened that his love will remain unrequited. Eric finds out that Johnny is a virgin and really wants to have sex with a woman, so Eric asks Veronica to have sex with Johnny. Under the guidance of Eric and with tips from Steve, Johnny slowly becomes a good hustler. Steve then asks Johnny to join him in entertaining some gay clients for a potentially large payment. Johnny refuses because it is Eric's birthday, much to the annoyance of Steve, who really needs the money from the clients who will only pay if both Steve and Johnny arrive. When Eric remains sombre, Johnny questions him, they argue, and Eric finally confesses his love for Johnny. Johnny tells Eric that he really cares for Eric too because Eric has been the best friend that he has ever had, and asks Eric to move with him to Charlotte. Delighted to find out that Johnny really cares for him, Eric agrees.
J.T., a sociopathic drug dealer, tosses Johnny a package while running from the police. It contains crack cocaine and cash. Steve finds it in their place and steals it. When J.T. shows up looking for it, it's missing. J.T. holds Johnny hostage while Eric looks for Steven. Steven refuses to return the cash and the drugs, so Eric heads to Veronica's place. There he steals the gun belonging to her police officer boyfriend and heads home. J.T. is playing William Tell with Johnny, shooting a can of tomato soup off his head. Eric comes in and thinks Johnny's been shot. He gets into a gun battle with J.T., killing him. Johnny and Eric flee but Eric realizes he's been shot. Eric dies in Johnny's arms, giving Johnny his lucky silver dollar. At the bus station, Johnny puts the dollar in a slot machine and hits a jackpot. He buys a bus ticket and leaves town.
A year later, Veronica is working as a cocktail waitress. She glances up at a television and sees Johnny. He's a member of a pit crew, having taken a step toward realizing his dream."
1999,Star Wars: Episode I – The Phantom Menace,American,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",space opera,https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace,"The Trade Federation upsets order in the Galactic Republic by blockading the planet Naboo in preparation for a full-scale invasion. The Republic's leader, Supreme Chancellor Valorum, dispatches Jedi Master Qui-Gon Jinn and his apprentice, Obi-Wan Kenobi, to negotiate with Federation Viceroy Nute Gunray. Darth Sidious, a Sith Lord and the Trade Federation's secret adviser, orders the Viceroy to kill the Jedi and begin their invasion with an army of battle droids. The Jedi escape and flee to Naboo. During the invasion, Qui-Gon saves a Gungan outcast, Jar Jar Binks, from being run over and killed by a droid transport. Indebted to Qui-Gon, Jar Jar leads the Jedi to an underwater Gungan city. The Jedi unsuccessfully try to persuade the Gungan leader, Boss Nass, into helping the people of Naboo, though they are able to obtain transportation to Theed, the capital city on the surface. They rescue Queen Padmé Amidala, the ruler of the Naboo people, and escape the planet on her royal starship en route to the Republic capital planet of Coruscant.
Amidala's ship is damaged as they pass the Federation blockade and becomes unable to use its hyperdrive, landing for repairs on the desert planet Tatooine. Qui-Gon, Jar Jar, astromech droid R2-D2, and Padmé – disguised as one of her handmaidens – visit the settlement of Mos Espa to purchase new parts at a junk shop. They meet the shop's owner, Watto, and his nine-year-old slave, Anakin Skywalker, who is a gifted pilot and engineer, and who has created a protocol droid called C-3PO. Qui-Gon senses a strong presence of the Force within Anakin, and is convinced that he is the ""chosen one"" of the Jedi prophecy who will bring balance to the Force. Qui-Gon wagers Anakin's freedom with Watto in a Podrace, which Anakin wins. Anakin joins the group to be trained as a Jedi, leaving behind his mother, Shmi. En route to their starship, Qui-Gon encounters Darth Maul, Darth Sidious' apprentice, who was sent to capture Amidala. A duel ensues, but Qui-Gon quickly disengages and escapes on board the starship.
Qui-Gon and Obi-Wan escort Amidala to Coruscant so that she can plead her people's case to Chancellor Valorum and the Galactic Senate. Qui-Gon asks the Jedi Council for permission to train Anakin as a Jedi, but the Council refuses, concerned that Anakin is vulnerable to the dark side. Undaunted, Qui-Gon wants to relieve Obi-Wan from his tutorship and take up Anakin as his new disciple. Meanwhile, Naboo's Senator Palpatine persuades Amidala to make a vote of no confidence in Valorum to elect a more capable chancellor to resolve the crisis on Naboo. Though she is successful in pushing for the vote, Amidala grows frustrated with the corruption in the Senate and decides to return to Naboo. Qui-Gon and Obi-Wan are ordered by the Jedi Council to accompany the queen to Naboo, as well as to confirm the return of the Sith, whom they believe to be extinct.
On Naboo, Padmé reveals herself to the Gungans as Queen Amidala, and persuades them into an alliance against the Trade Federation. Jar Jar joins his people in a battle, despite being inept at combat, against the droid army while Padmé leads the hunt for Viceroy Gunray in Theed. During a battle in a starship hangar to free Naboo pilots, Anakin takes shelter in a vacant starfighter, and inadvertently triggers its autopilot, joining the battle against the Federation droid control ship in space. Anakin blunders into the hangar of the droid control ship and destroys the ship from within before escaping, deactivating the droid army. Meanwhile, Qui-Gon and Obi-Wan battle Darth Maul, who mortally wounds Qui-Gon, but is eventually bisected by Obi-Wan. As he dies, Qui-Gon requests that Obi-Wan train Anakin. Subsequently, Palpatine is elected as the new Supreme Chancellor, and Gunray is arrested. Yoda promotes Obi-Wan to the rank of Jedi Knight and reluctantly accepts Anakin as Obi-Wan's apprentice. Padmé presents a gift of appreciation and friendship to the Gungans at a festive ceremony."
